,Are you a member of OHBM?,What geographic region are you currently located in?,What is your current career status?,"Which of the following platforms do you use to access OHBM content? When applicable, a direct link to the platform is provided next to each option. Please check all options that apply.",Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,How would you describe your access to the OHBM job board?,How would you describe the content on the OHBM job board?,How would you describe your access to emails from OHBM?,How would you describe the content in OHBM emails?,How would you describe your access to the OHBM blog?,How would you describe the content in the OHBM blog?,How would you describe your access to OHBM Twitter?,How would you describe the content on OHBM Twitter?,How would you describe your access to the NeuroSalience podcast?,How would you describe the content in the NeuroSalience podcast?,How would you describe your access to OHBM Facebook?,How would you describe the content in OHBM Facebook?,How would you describe your access to OHBM YouTube?,How would you describe the content in OHBM YouTube?,How would you describe your access to OHBM LinkedIn?,How would you describe the content in OHBM LinkedIn?,How would you describe your access to the OHBM OnDemand?,How would you describe the content in OHBM OnDemand?,"Do you currently follow any of the following OHBM Special Interest Groups (SIG) platforms? When applicable, a direct link to the platform is provided next to each option. Please check all options that apply.",Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,How important is each of these types of content to you?,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
279,Yes,North America (Including Canada and Mexico),Postdoctoral researcher,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,Youtube (https://www.youtube.com/channel/UCwMM4wEFi_hx2_6wVVoPBJA),,OHBM OnDemand (https://www.pathlms.com/ohbm),,I know about the OHBM job board but I don't use it,Postings are somewhat relevant,I get emails from OHBM and I occasionally read them,It is very relevant only when related to the annual meeting,I know about the blog and occasionally read the posts,It is somewhat relevant,"I use Twitter, follow the OHBM Twitter account, and regularly see their tweets",It is very relevant only when related to the annual meeting,"I know about the podcast, but I don’t listen to it",I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,"I use YouTube and know about the OHBM YouTube channel, but I don’t subscribe to the channel",I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I know about OnDemand and occasionally access the content,I don’t know / NA,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,Open Science Twitter (https://twitter.com/OhbmOpen),,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",,,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
280,Yes,Oceania (Australia and New Zealand),"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,OHBM Job Board,I look at the OHBM job board ocassionally,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is somewhat relevant,"I know about the blog, but I don’t read it",It is not relevant to me,"I use Twitter and know about OHBM Twitter, but I don’t follow the account",I don’t know / NA,"I know about the podcast, but I don’t listen to it",I don’t know / NA,"I use Facebook and know about the OHBM Facebook page, but I don’t follow/like the page",I don’t know / NA,"I use YouTube and know about the OHBM YouTube channel, but I don’t subscribe to the channel",I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,,Tutorials on different topics related to human brain mapping,Controversial topics in the field,
281,Yes,Europe,Non-academic position,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),NeuroSalience podcast (https://anchor.fm/ohbm),,,,,,I look at the OHBM job board ocassionally,Postings are not relevant to me,I get emails from OHBM and I always read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is very relevant throughout the year,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I know about the podcast and occasionally listen to the episodes,It is very relevant throughout the year,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,"I know about OnDemand, but I haven’t accessed any content on there",I don’t know / NA,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,,,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
282,Yes,North America (Including Canada and Mexico),"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I know about the OHBM job board but I don't use it,Postings are somewhat relevant,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,I use Twitter but didn’t know that the OHBM Twitter account exists,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I use Facebook but didn’t know that the OHBM Facebook page exists,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,,,Exciting new science or developments in the brain mapping field
283,Yes,North America (Including Canada and Mexico),Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,Postings are somewhat relevant,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I use LinkedIn but didn’t know that the OHBM LinkedIn page exists,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,Open Science Twitter (https://twitter.com/OhbmOpen),,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,,Information on the annual meeting,,,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
284,Yes,North America (Including Canada and Mexico),"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,,,I didn't know OHBM had a job board,,I get emails from OHBM and I always read them,It is somewhat relevant,I didn't know that OHBM had a blog,I don’t know / NA,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
285,Yes,North America (Including Canada and Mexico),"Early-career faculty member / group leader / principal investigator (i.e., less than 5 years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),,Blog (https://www.ohbmbrainmappingblog.com),,,,,,,,I know about the OHBM job board but I don't use it,Postings are somewhat relevant,I get emails from OHBM and I occasionally read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is somewhat relevant,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,"I use LinkedIn and know about the OHBM LinkedIn page, but I don’t follow the page",I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,,,,,,,,,Information on the annual meeting,,,,,,Controversial topics in the field,Exciting new science or developments in the brain mapping field
286,Yes,North America (Including Canada and Mexico),Postdoctoral researcher,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),Blog (https://www.ohbmbrainmappingblog.com),Twitter (https://twitter.com/OHBM),,,,,,,I didn't know OHBM had a job board,Postings are very relevant throughout the year,I get emails from OHBM and I occasionally read them,It is very relevant throughout the year,I know about the blog and occasionally read the posts,It is somewhat relevant,"I use Twitter, follow the OHBM Twitter account, and occasionally see their tweets",It is somewhat relevant,I know about the podcast and regularly listen to the episodes,It is very relevant throughout the year,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I don’t know what OnDemand is,I don’t know / NA,BrainArt Twitter (https://twitter.com/OHBM_BrainArt),,Open Science Twitter (https://twitter.com/OhbmOpen),,,Student-Postdoc Twitter (https://twitter.com/OHBM_Trainees),,,Information on the annual meeting,"Information on OHBM behind-the-scenes (e.g. governance, financing)",Updates on OHBM committee / SIGs activities throughout the year,Reviews on OHBM activities,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
287,No,North America (Including Canada and Mexico),"Established faculty member / group leader / principal investigator (i.e., 5 or more years from initial appointment)",OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),,,,,,,OHBM OnDemand (https://www.pathlms.com/ohbm),,I know about the OHBM job board but I don't use it,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is very relevant throughout the year,I don’t use Twitter / NA,I don’t know / NA,I didn't know that OHBM had a podcast,I don’t know / NA,I don’t use Facebook / NA,I don’t know / NA,I don’t use YouTube / NA,I don’t know / NA,I don’t use LinkedIn / NA,I don’t know / NA,I know about OnDemand and occasionally access the content,It is very relevant throughout the year,,,,,,,,,Information on the annual meeting,,,,,Tutorials on different topics related to human brain mapping,Controversial topics in the field,Exciting new science or developments in the brain mapping field
288,Yes,North America (Including Canada and Mexico),Doctoral student,OHBM website (https://www.humanbrainmapping.org),Official OHBM Emails (*@humanbrainmapping.org emails),Blog (https://www.ohbmbrainmappingblog.com),,NeuroSalience podcast (https://anchor.fm/ohbm),,,,,,I didn't know OHBM had a job board,Postings are somewhat relevant,I get emails from OHBM and I always read them,It is somewhat relevant,I know about the blog and occasionally read the posts,It is very relevant throughout the year,I don’t use Twitter / NA,I don’t know / NA,I know about the podcast and regularly listen to the episodes,It is very relevant throughout the year,I don’t use Facebook / NA,I don’t know / NA,I use YouTube but didn’t know that the OHBM YouTube channel exists,It is somewhat relevant,I don’t use LinkedIn / NA,I don’t know / NA,I know about OnDemand and occasionally access the content,It is somewhat relevant,,,,,,,Sustainability Blog (https://ohbm-environment.org/blog),,Information on the annual meeting,,Updates on OHBM committee / SIGs activities throughout the year,,Interviews with human brain mappers,Tutorials on different topics related to human brain mapping,,Exciting new science or developments in the brain mapping field
